2020-01-05 08:45:15,377,377,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': 'ba2cac337445d026ad85c87475b07f10', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 18, '_primary_term': 1}
2020-01-05 08:45:15,540,540,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '75b1cf5df583b1a4e37cdf64a297d09a', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 19, '_primary_term': 1}
2020-01-05 08:45:15,706,706,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '32fa96a7e961747e546f31dbf583435e', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 20, '_primary_term': 1}
2020-01-05 08:45:15,919,919,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': 'eaa13fc7f169dc7941f386809acc810a', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 21, '_primary_term': 1}
2020-01-05 08:45:16,175,175,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': 'dad6928a37ffee2290cfe4e97a4b9afd', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 22, '_primary_term': 1}
2020-01-05 08:45:16,488,488,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': 'b1f43bd3e1de89dcbadf8001955a4331', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 23, '_primary_term': 1}
2020-01-05 08:45:16,645,645,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': 'a5f1b09e402b82e089bd72601ee44190', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 24, '_primary_term': 1}
2020-01-05 08:45:16,802,802,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': 'dbac2904aaae366cec6c9e5d040b98b9', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 25, '_primary_term': 1}
2020-01-05 08:45:16,958,958,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '5e7433692e46888aa3eaddd9459ed71d', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 26, '_primary_term': 1}
2020-01-05 08:45:17,122,122,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '950632a03ddd4d5d97134012c09cb058', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 27, '_primary_term': 1}
